,Tweet_ID,Tweet_Text,Time_Of_Tweet,Tweet_Location,User_Native,Country,Language,Category,Sub_Category,Latitude,Longitude,Nearest_Assembly_Cord,Nearest_Assembly_Name
13561,13560,@BBMPCOMM1 due to the potholes and poor lighting at night accidents been taking place . EPIP layout opp to Airtel o… https://t.co/n3lXD47Vi8,10/24/2017 8:44,Bengaluru South,India,India,en,Crime,Pothole,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
13565,13564,The massive potholes are still getting bigger everyday! I thought these should be taken up on priority! #Koramangala #HosurRoad #Bengaluru,10/24/2017 8:44,Bengaluru,Bangalore-Manipal-Gurgaon,India,en,Crime,Pothole,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
13580,13579,"Also, some potholes are left half-filled or just filled with sand.. no tarring! Why this shoddy work #BBMP? @BlrCityPolice",10/24/2017 8:46,Bengaluru,Bangalore-Manipal-Gurgaon,India,en,Crime,Pothole,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
14185,14184,"So what happened with October 25th deadline by congi govt to fill all pothole?  Do we all Indian want pothole, select cong govt with Pappu",10/24/2017 10:20,Bengaluru,"Kailaras, India",India,en,Crime,Pothole,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
14538,14537,"@thekjgeorge @GOKUpdates Sir now tht rains r stopped can u initiate measures to not let potholes come bck ?
Maybe g… https://t.co/GlruOjaIJQ",10/25/2017 7:32,Bengaluru South,"Bengaluru, India",India,en,Crime,Pothole,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
15384,15383,@CTRavi_BJP He can see the potholes nor vehicles as all roads and vehicles will be blocked wherever he travels. So… https://t.co/Pbk9ZxvGRt,10/25/2017 9:44,Bengaluru South,"Jaya Nagar, Bengaluru South",India,en,Crime,Pothole,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
18491,18490,We have potholes in India to slowdown vehicles. https://t.co/JaYmNJtRwT,10/27/2017 11:24,Bengaluru South,"Bengaluru, India",India,en,Crime,Pothole,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
18635,18634,"On a familiar route in #Bengaluru. 
All the major potholes are Fixed. 
Big Q : Why did it take 4 lives to fix ths potholes @CMofKarnataka??",10/27/2017 11:48,Bengaluru,"Bengaluru South, India",India,en,Crime,Pothole,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
21163,21162,@indianrailway__ please look into the Carmelaram railway crossing chaos it has broken path potholes and causes massive traffic jams everyday,10/27/2017 18:58,Bengaluru South,Bengaluru,India,en,Crime,Pothole,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
257,257,"https://t.co/7uGFf7937r
Book @UIDAI for murder. @Vidyut @Stupidosaur @NandanNilekani @mathew111938",10/16/2017 4:33,Bengaluru,Bangalore,India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
471,471,#GauriLankesh murder will remain forever  a mystery -only then the anti Modi gang can keep encashing blaming Right wing outfits,10/16/2017 5:04,Bengaluru,"Hyderabad, Bangalore India",India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
482,482,This is man who is accused of roits begining from Muzaffarnagar n inciting the murderes of Aqlaq n parter in beef e… https://t.co/P0PNiQ04xZ,10/16/2017 5:05,Bengaluru,"New Delhi, Hyderabad - India",India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
1096,1096,"Pinarayi Vijayan, the prime accused in Kerala’s first political murder? https://t.co/0ckSrsphyZ",10/16/2017 6:32,Bengaluru,Bangalore,India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
1315,1315,Siddaramaiah’s SIT probing Gauri Lankesh murder came out with Innocent BJP workers sketch a crude joke on people how naive N stupid siddu,10/16/2017 7:00,Bengaluru South,Middle East,India,en,Crime,Murder,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
3207,3207,"Gauri Lankesh murderers came wit helmet, weren't captured for any CCTVs, no eyewitness but d sketches of the culprits has Tilak on his fh!😑",10/16/2017 11:17,Bengaluru South,"Mangalore,India",India,en,Crime,Murder,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
4110,4110,It is said that #GauriLankesh's killers were in Bengaluru 5 days before her murder. Exclusive details emerge over t… https://t.co/g4dNU0tgGo,10/16/2017 15:44,Bengaluru,BENGALURU,India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
6102,6102,We've constituted an SIT headed by DCP (investigation). Hopeful to crack the case soon: Ludhiana Police Commissioner on murder of RSS leader,10/17/2017 14:38,India,Ahmedabad,India,en,Crime,Murder,6.62251,67.9976,"12.9242,  77.5191",Rajarajeswari Nagar
6911,6911,"Mr Swamy,apt reply for a wife murderer. https://t.co/gGzienyzJV",10/17/2017 15:53,Bengaluru,"New Delhi, India",India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
7449,7449,@TimesNow our police is like a thief+ dacoit+murderer+liar and is like AIDs on India,10/17/2017 16:56,Bengaluru,"Mountain View, CA",India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
9354,9354,PM @NarendraModi becomes the 1st Prime Minister in the world to murder the largest Largest Democracy of the world. https://t.co/v7MvBOLZoh,10/18/2017 15:48,Bengaluru,Bangalore,India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
9398,9398,"You make movies rajputs, glorify bloody basted, murderer mugals, isn't this a heartbreaking and shame for Hindus https://t.co/Kj48oZpq6Y",10/18/2017 15:54,Bengaluru,"Kailaras, India",India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
11392,11391,"@tajmahalfoxtrot @scroll_in Tipu was a mass murderer. He murdered 20,000 civilians in his assault of Malabar distri… https://t.co/woDdFkah0M",10/22/2017 19:08,Bengaluru South,,भारत,en,Crime,Murder,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
12108,12107,@WhatTheFFacts Why glorify cold blooded murderous as terrorist,10/23/2017 8:36,Bengaluru,MYSURU,India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
13725,13724,"#gaurilankesh murder: Clueless! SIT shrinks to 50, hope fades
-but LEFTIST/Congress objective achieved RW orgs stan… https://t.co/0BZCpMzZ4W",10/24/2017 9:03,Bengaluru,"Hyderabad, Bangalore India",India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
15722,15721,Is it a fault of script writer or Hon’ble President actually believes that Tipu a mass murderer of Hindus was a Her… https://t.co/3w3vttHRoD,10/25/2017 10:39,India,,India,en,Crime,Murder,6.62251,67.9976,"12.9242,  77.5191",Rajarajeswari Nagar
17547,17546,Congress sitting minister in Karnataka is murder accused named in dying statement... still murderer accomplish… https://t.co/mtj4Le72XC,10/26/2017 14:54,Bengaluru,Bharat,India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
